Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
0.0,,0.02747894400090445,0.0,0.0,7.000000000000001,269.0,7.000000000000001,0.1,right
1.0,4.0,4.110597102000611,5.110856956001953,5.12148809399514,4.999999999999999,234.0,6.0,0.7,right
1.0,4.0,8.174104703997727,9.143619267997565,9.149119216002873,7.000000000000001,138.0,6.0,0.5,right
0.0,,12.237239869995392,0.0,0.0,4.999999999999999,125.0,7.000000000000001,0.4,right
1.0,3.0,16.409331718998146,18.049951244000113,18.061448637003195,7.000000000000001,86.0,6.0,0.3,right
0.0,,20.489779506999184,0.0,0.0,4.999999999999999,252.0,7.000000000000001,0.2,right
1.0,4.0,24.577975545005756,25.577102951006964,25.591492117004236,7.000000000000001,176.0,7.000000000000001,0.6,right
0.0,,28.637910001009004,0.0,0.0,4.999999999999999,332.0,8.000000000000002,0.1,right
1.0,4.0,32.77618829900166,33.65488698899571,33.65946386700671,4.999999999999999,400.0,8.000000000000002,0.7,right
0.0,,36.858884303001105,0.0,0.0,-4.999999999999999,130.0,7.000000000000001,0.5,right
0.0,,40.94095585899777,0.0,0.0,-7.000000000000001,418.0,7.000000000000001,0.4,right
0.0,,45.05118329000834,0.0,0.0,7.000000000000001,299.0,8.000000000000002,0.3,right
0.0,,49.12687014200492,0.0,0.0,7.000000000000001,274.0,8.000000000000002,0.2,right
1.0,4.0,53.22949153999798,54.16772254300304,54.174388886996894,-4.999999999999999,201.0,7.000000000000001,0.6,left
0.0,,57.297871946007945,0.0,0.0,-4.999999999999999,428.0,9.0,0.1,left
