Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
2.0,4.0,0.031050387000504998,-7.000000000000001,304.0,7.000000000000001,0.1,2
1.0,4.0,5.119468758000949,-4.999999999999999,202.0,8.000000000000002,0.3,1
2.0,4.0,10.233580915000857,-7.000000000000001,329.0,8.000000000000002,0.2,2
2.0,4.0,15.27062941800068,-7.000000000000001,219.0,6.0,0.4,1
1.0,4.0,20.611537512999348,4.999999999999999,410.0,8.000000000000002,0.5,2
1.0,4.0,25.580438216000402,-4.999999999999999,107.0,7.000000000000001,0.6,2
1.0,4.0,30.673870284999794,-4.999999999999999,385.0,6.0,0.7,2
2.0,4.0,35.75668358599978,-4.999999999999999,284.0,9.0,0.1,2
2.0,4.0,40.73264639700028,-7.000000000000001,87.0,7.000000000000001,0.3,2
2.0,4.0,45.73687727000106,4.999999999999999,142.0,6.0,0.2,2
1.0,4.0,50.842470864999996,-7.000000000000001,99.0,7.000000000000001,0.4,1
1.0,4.0,55.93213737500082,7.000000000000001,250.0,6.0,0.5,2
1.0,4.0,61.42585331000009,-4.999999999999999,136.0,8.000000000000002,0.6,1
1.0,4.0,66.48823463699955,-7.000000000000001,3.0,9.0,0.7,1
2.0,4.0,71.76047395900059,7.000000000000001,91.0,8.000000000000002,0.1,2
