Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,1.0,0.032469251003931277,1.0433402189955814,1.0472737030067947,7.000000000000001,427.0,9.0,0.7,right
1.0,,4.187797796999803,5.826755176007282,5.832553975997143,4.999999999999999,364.0,7.000000000000001,0.3,right
1.0,4.0,9.207080064006732,10.356937421005568,10.37048547899758,-4.999999999999999,309.0,8.000000000000002,0.5,left
1.0,4.0,13.272355555003742,13.972479914009455,13.980154233999201,7.000000000000001,159.0,9.0,0.6,right
1.0,1.0,17.33519370900467,18.948013547997107,18.952645539000514,7.000000000000001,103.0,9.0,0.4,left
0.0,,21.56741755400435,0.0,0.0,-7.000000000000001,16.0,7.000000000000001,0.2,left
0.0,,25.683259440003894,0.0,0.0,-4.999999999999999,375.0,9.0,0.1,left
1.0,4.0,29.89277332799975,30.75778325900319,30.773379596008454,-4.999999999999999,291.0,6.0,0.7,left
0.0,,33.97692173499672,0.0,0.0,-7.000000000000001,338.0,9.0,0.3,left
1.0,4.0,38.098030473003746,38.93640472900006,38.94034511200152,4.999999999999999,48.0,7.000000000000001,0.5,right
1.0,4.0,42.20567243700498,43.034970445005456,43.04617098699964,-7.000000000000001,391.0,9.0,0.6,left
1.0,4.0,46.28506610500335,47.2468575820094,47.254281383997295,7.000000000000001,217.0,9.0,0.4,right
0.0,,50.41245791199617,0.0,0.0,-7.000000000000001,67.0,7.000000000000001,0.2,right
0.0,,54.60907183699601,0.0,0.0,7.000000000000001,148.0,6.0,0.1,right
1.0,4.0,58.763796137005556,59.50785232700582,59.52019228199788,-7.000000000000001,263.0,8.000000000000002,0.7,left
