Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
0.0,0.0,0.03347357999882661,7.000000000000001,292.0,6.0,0.2,0
2.0,4.0,9.2441835239988,7.000000000000001,139.0,9.0,0.7,2
1.0,4.0,16.265758618999826,-4.999999999999999,152.0,9.0,0.5,1
1.0,4.0,22.3739634249996,-7.000000000000001,168.0,9.0,0.4,2
2.0,4.0,27.453213498998593,4.999999999999999,162.0,6.0,0.1,1
1.0,4.0,33.19102886499968,-7.000000000000001,85.0,9.0,0.6,1
2.0,4.0,39.75007306899897,-4.999999999999999,134.0,9.0,0.3,1
2.0,4.0,46.029679569999644,7.000000000000001,292.0,7.000000000000001,0.2,2
1.0,4.0,51.52920553900003,4.999999999999999,15.0,8.000000000000002,0.7,2
1.0,4.0,57.667049579999,7.000000000000001,68.0,9.0,0.5,2
1.0,4.0,63.49707793699963,-7.000000000000001,241.0,8.000000000000002,0.4,1
0.0,2.0,68.53424145099962,7.000000000000001,273.0,6.0,0.1,2
1.0,4.0,74.55472371699943,-4.999999999999999,31.0,6.0,0.6,1
2.0,4.0,79.55688832699889,4.999999999999999,422.0,9.0,0.3,2
2.0,4.0,84.72309576999942,7.000000000000001,212.0,7.000000000000001,0.2,2
